# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
a 	阿	c=34 d=8.76425e-08 t=975297
a a 	啊啊	c=5 d=2.08415e-110 t=975297
a a a 	啊啊啊	c=1 d=1.15538e-199 t=975297
a bei 	阿貝	c=1 d=0.000110555 t=975297
a dao fu 	阿道夫	c=1 d=0 t=975297
a gan 	阿甘	c=1 d=1.82095e-110 t=975297
a ha 	阿哈	c=1 d=2.43847e-163 t=975297
a hao 	阿豪	c=1 d=2.16324e-107 t=975297
a hong 	阿訇	c=1 d=1.51509e-202 t=975297
a huang 	阿黃	c=1 d=1.07893e-217 t=975297
a jiao 	阿嬌	c=2 d=7.8837e-27 t=975297
a lang 	啊郎	c=1 d=2.80598e-285 t=975297
a lang 	阿朗	c=6 d=0.000587285 t=975297
a lang 	阿郎	c=26 d=3.94138e-18 t=975297
a li 	阿里	c=127 d=0.222177 t=975297
a li 	阿黎	c=1 d=1.42516e-21 t=975297
a li ga dao 	阿里噶到	c=1 d=3.83259e-71 t=975297
a li lang 	阿里郎	c=1 d=9.26272e-188 t=975297
a li ma ma 	阿里媽媽	c=1 d=0 t=975297
a li qi xia 	阿里旗下	c=1 d=1.31458e-247 t=975297
a li yun 	阿里雲	c=51 d=1.65069e-14 t=975297
a mi tuo fo 	啊彌陀佛	c=4 d=5.56519e-18 t=975297
a qing 	啊請	c=1 d=0 t=975297
a si dun 	阿斯頓	c=1 d=2.28759e-235 t=975297
a wa long 	啊瓦隆	c=1 d=0 t=975297
a xing 	阿星	c=300 d=0.532592 t=975297
a yi 	阿姨	c=12 d=1.52191e-29 t=975297
ai 	哎	c=1 d=2.81828e-72 t=975297
ai 	唉	c=336 d=0.463614 t=975297
ai 	愛	c=42 d=0.360595 t=975297
ai 	捱	c=2 d=1.72755e-20 t=975297
ai 	矮	c=2 d=7.8869e-43 t=975297
ai 	艾	c=6 d=5.46022e-178 t=975297
ai chao 	愛巢	c=29 d=0 t=975297
ai che 	愛車	c=3 d=8.61088e-254 t=975297
ai chi 	愛吃	c=2 d=1.1648e-30 t=975297
ai da 	捱打	c=4 d=1.79045e-264 t=975297
ai da bu li 	愛答不理	c=1 d=0 t=975297
ai dao 	捱刀	c=1 d=9.95561e-125 t=975297
ai ge 	挨個	c=19 d=6.51596e-50 t=975297
ai guo 	愛國	c=1 d=0 t=975297
ai hao 	愛好	c=24 d=0.018043 t=975297
ai hao zhe 	愛好者	c=1 d=0 t=975297
ai hu 	愛護	c=1 d=0 t=975297
ai ji 	愛己	c=1 d=6.82915e-161 t=975297
ai kang 	愛康	c=4 d=0 t=975297
ai ke 	艾科	c=4 d=1.48067e-235 t=975297
ai ku 	愛酷	c=1 d=2.19465e-12 t=975297
ai li si 	愛麗絲	c=1 d=0 t=975297
